样本名,有效变异数,高频变异数(≥10%),中高频变异数(5%-10%),低频变异数(1%-5%),平均异质性频率(%),最高异质性频率(%),平均总reads数(×),最高频率位点(Pt:POS)
Sample_14,249,11,11,58,3.09,100.00,2330.4,136734
Sample_18,201,6,25,54,2.30,33.58,1892.7,110081
Sample_19,199,10,21,61,4.32,100.00,1272.2,136734
Sample_20,198,8,19,57,3.98,100.00,1737.9,136734
Sample_21,188,10,19,56,4.79,100.00,1449.8,136734
Sample_4,187,10,20,58,2.87,100.00,1357.6,36321
Sample_5,200,9,20,55,4.26,100.00,1361.6,136734
Sample_6,531,9,21,81,1.15,33.96,2727.2,128568
Sample_7,170,6,12,58,4.25,100.00,2783.7,136734
Sample_8,198,14,15,62,4.66,100.00,1047.6,136734
Sample_Col_G,219,7,7,48,1.41,15.64,3720.1,66699
Sample_Ler_XL_4,448,71,12,61,14.51,100.00,5962.5,4870
Sample_c41,271,7,20,53,1.69,37.56,2707.8,128568
Sample_c42,278,6,15,47,1.32,23.08,2158.3,110081
Sample_c45,248,7,21,58,1.95,38.25,2978.7,110081
Sample_c47,219,18,20,54,2.73,29.53,1157.1,28570
Sample_c48,237,10,22,54,2.43,89.64,2458.2,28672
Sample_c51,277,8,19,62,1.85,42.65,2472.9,110081
Sample_c52,248,7,16,64,1.80,41.86,2409.8,128568
Sample_c54,254,6,20,58,1.81,44.44,1902.0,110081
Sample_c57,223,8,17,58,2.36,89.59,2595.2,28672
Sample_c61,251,12,12,55,1.97,25.39,2510.5,110081
Sample_c62,292,8,12,65,1.56,29.26,2448.6,110081
Sample_c63,237,7,15,62,1.85,29.02,2190.4,110081
Sample_c64,232,6,12,53,1.53,22.86,1955.8,67163
Sample_c65,311,4,10,90,1.43,28.40,2559.7,110081
Sample_c66,179,6,7,54,1.74,28.28,3235.3,110081
Sample_c73,241,15,25,59,2.68,44.17,2079.3,110081
Sample_c81,270,8,19,61,1.92,43.97,2096.5,110081
Sample_c82,209,6,13,56,1.87,33.33,3088.8,67163
Sample_c83,192,5,7,61,1.74,28.00,3624.4,67163
Sample_c84,220,9,11,59,2.03,39.16,3149.3,110081
Sample_c85,210,4,9,57,1.51,27.23,3423.4,110081
Sample_c87,361,9,15,50,1.16,25.56,3278.2,110081
Sample_c88,248,9,9,57,1.69,33.93,3206.9,110081
Sample_c89,178,6,9,54,1.74,19.85,2652.6,110081
Sample_c90,220,8,10,60,2.05,89.38,3520.2,28672
Sample_c91,232,9,12,47,1.62,21.59,3594.6,110081
Sample_c92,227,7,9,57,1.62,23.13,3095.2,110081
Sample_c93,191,5,5,47,1.70,87.25,2269.6,28672
Sample_c94,218,4,5,45,1.12,13.25,5387.2,111
Sample_c95,316,3,7,49,0.85,14.03,5400.8,46614
