Sample_14	SRR611088	314
Sample_18	SRR611072	149
Sample_19	SRR611073	149
Sample_20	SRR611074	153
Sample_21	SRR611075	149
Sample_4	SRR611076	149
Sample_5	SRR611089	149
Sample_6	SRR611090	293
Sample_7	SRR611091	322
Sample_8	SRR611077	149
Sample_Col_G	SRR611086	621
Sample_Ler_XL_4	SRR611087	632
Sample_c1c2	SRR611078	173
Sample_c41	SRR611092	318
Sample_c42	SRR611093	317
Sample_c45	SRR611094	318
Sample_c47	SRR611079	145
Sample_c48	SRR611095	320
Sample_c51	SRR611096	320
Sample_c52	SRR611097	320
Sample_c54	SRR611098	320
Sample_c57	SRR611099	318
Sample_c61	SRR611100	318
Sample_c62	SRR611101	319
Sample_c63	SRR611102	318
Sample_c64	SRR611103	318
Sample_c65	SRR611104	317
Sample_c66	SRR611105	318
Sample_c73	SRR611106	290
Sample_c81	SRR611107	320
Sample_c82	SRR611108	318
Sample_c83	SRR611109	321
Sample_c84	SRR611110	322
Sample_c85	SRR611111	320
Sample_c87	SRR611112	310
Sample_c88	SRR611113	308
Sample_c89	SRR611114	318
Sample_c90	SRR611115	313
Sample_c91	SRR611116	318
Sample_c92	SRR611117	319
Sample_c93	SRR611118	173
Sample_c94	SRR611084	941
Sample_c95	SRR611085	927
Sample_l2c2	SRR611080	173
Sample_l2l3	SRR611081	173
Sample_l4c1	SRR611082	173
Sample_l4l3	SRR611083	173
