Sample	ColRatio	ColGenome	LerRatio	LerGenome	MutRatio	MutGenome	ColCount	LerCount	MutCount	ColLength	LerLength	MutLength
Sample_14	100.0000	0.002589	0.0000	0.000000	0.0000	0.000000	4	0	0	4	0	0
Sample_18	100.0000	0.002589	0.0000	0.000000	0.0000	0.000000	4	0	0	4	0	0
Sample_19	75.0000	0.001942	0.0000	0.000000	25.0000	0.000647	3	0	1	3	0	1
Sample_20	100.0000	0.001295	0.0000	0.000000	0.0000	0.000000	2	0	0	2	0	0
Sample_21	66.6667	0.001295	0.0000	0.000000	33.3333	0.000647	2	0	1	2	0	1
Sample_4	100.0000	0.001942	0.0000	0.000000	0.0000	0.000000	3	0	0	3	0	0
Sample_5	100.0000	0.002589	0.0000	0.000000	0.0000	0.000000	4	0	0	4	0	0
Sample_6	0.0000	0.000000	100.0000	0.000647	0.0000	0.000000	0	1	0	0	1	0
Sample_7	75.0000	0.001942	0.0000	0.000000	25.0000	0.000647	3	0	1	3	0	1
Sample_8	100.0000	0.001942	0.0000	0.000000	0.0000	0.000000	3	0	0	3	0	0
Sample_c1c2	100.0000	0.002589	0.0000	0.000000	0.0000	0.000000	4	0	0	4	0	0
Sample_c41	100.0000	0.003237	0.0000	0.000000	0.0000	0.000000	5	0	0	5	0	0
Sample_c42	66.6667	0.001295	0.0000	0.000000	33.3333	0.000647	2	0	1	2	0	1
Sample_c45	80.0000	0.002589	0.0000	0.000000	20.0000	0.000647	4	0	1	4	0	1
Sample_c47	100.0000	0.001295	0.0000	0.000000	0.0000	0.000000	2	0	0	2	0	0
Sample_c48	80.0000	0.002589	0.0000	0.000000	20.0000	0.000647	4	0	1	4	0	1
Sample_c51	100.0000	0.001295	0.0000	0.000000	0.0000	0.000000	2	0	0	2	0	0
Sample_c52	100.0000	0.003884	0.0000	0.000000	0.0000	0.000000	6	0	0	6	0	0
Sample_c54	100.0000	0.002589	0.0000	0.000000	0.0000	0.000000	4	0	0	4	0	0
Sample_c57	100.0000	0.001942	0.0000	0.000000	0.0000	0.000000	3	0	0	3	0	0
Sample_c61	83.3333	0.003237	0.0000	0.000000	16.6667	0.000647	5	0	1	5	0	1
Sample_c62	50.0000	0.000647	0.0000	0.000000	50.0000	0.000647	1	0	1	1	0	1
Sample_c63	100.0000	0.002589	0.0000	0.000000	0.0000	0.000000	4	0	0	4	0	0
Sample_c64	75.0000	0.001942	0.0000	0.000000	25.0000	0.000647	3	0	1	3	0	1
Sample_c65	33.3333	0.001295	33.3333	0.000647	33.3333	0.000647	1	1	1	2	1	1
Sample_c66	100.0000	0.001942	0.0000	0.000000	0.0000	0.000000	3	0	0	3	0	0
Sample_c73	80.0000	0.002589	0.0000	0.000000	20.0000	0.000647	4	0	1	4	0	1
Sample_c81	100.0000	0.001942	0.0000	0.000000	0.0000	0.000000	3	0	0	3	0	0
Sample_c82	100.0000	0.000647	0.0000	0.000000	0.0000	0.000000	1	0	0	1	0	0
Sample_c83	50.0000	0.000647	0.0000	0.000000	50.0000	0.000647	1	0	1	1	0	1
Sample_c84	100.0000	0.001942	0.0000	0.000000	0.0000	0.000000	3	0	0	3	0	0
Sample_c85	100.0000	0.002589	0.0000	0.000000	0.0000	0.000000	4	0	0	4	0	0
Sample_c87	80.0000	0.003237	0.0000	0.000000	20.0000	0.000647	4	0	1	5	0	1
Sample_c88	100.0000	0.003237	0.0000	0.000000	0.0000	0.000000	4	0	0	5	0	0
Sample_c89	0.0000	0.000000	0.0000	0.000000	100.0000	0.000647	0	0	1	0	0	1
Sample_c90	100.0000	0.001295	0.0000	0.000000	0.0000	0.000000	2	0	0	2	0	0
Sample_c91	100.0000	0.000647	0.0000	0.000000	0.0000	0.000000	1	0	0	1	0	0
Sample_c92	100.0000	0.002589	0.0000	0.000000	0.0000	0.000000	4	0	0	4	0	0
Sample_c93	100.0000	0.001295	0.0000	0.000000	0.0000	0.000000	2	0	0	2	0	0
Sample_c94	100.0000	0.003237	0.0000	0.000000	0.0000	0.000000	4	0	0	5	0	0
Sample_c95	100.0000	0.001942	0.0000	0.000000	0.0000	0.000000	3	0	0	3	0	0
Sample_l2c2	3.9216	0.001295	88.2353	0.060203	7.8431	0.002589	2	45	4	2	93	4
Sample_l2l3	5.7692	0.001942	80.7692	0.058261	13.4615	0.004531	3	42	7	3	90	7
Sample_l4c1	2.0000	0.000647	90.0000	0.060203	8.0000	0.002589	1	45	4	1	93	4
Sample_l4l3	7.4074	0.002589	83.3333	0.060203	9.2593	0.003237	4	45	5	4	93	5
